"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"deal_mug","~","buy_budget",0.124231503073988,0.00291450648396714,42.6252278927469,0,0.118519175332704,0.129943830815272
"deal_mug","~","sell_min_mug",0.0507949968200127,0.00215489603723984,23.5719013549605,0,0.0465714781965945,0.0550185154434309
"deal_mug","~","sel_love_mug",-0.0446258214967141,0.00507006066585747,-8.8018318591789,0,-0.0545629578012279,-0.0346886851922003
"deal_mug","~1","",-1.90428238287047,0.077397650242997,-24.6038785013731,0,-2.05597898983477,-1.75258577590617
"deal_mug","~~","deal_mug",0.000190799236803096,0.000120672032823931,1.58113883008407,0.113846298006686,-4.57136014730436e-05,0.000427312075079236
"buy_budget","~~","buy_budget",26.96,0,NA,NA,26.96,26.96
"buy_budget","~~","sell_min_mug",-31.4,0,NA,NA,-31.4,-31.4
"buy_budget","~~","sel_love_mug",-1.92,0,NA,NA,-1.92,-1.92
"sell_min_mug","~~","sell_min_mug",46,0,NA,NA,46,46
"sell_min_mug","~~","sel_love_mug",0.8,0,NA,NA,0.8,0.8
"sel_love_mug","~~","sel_love_mug",1.84,0,NA,NA,1.84,1.84
"buy_budget","~1","",10.8,0,NA,NA,10.8,10.8
"sell_min_mug","~1","",18,0,NA,NA,18,18
"sel_love_mug","~1","",3.4,0,NA,NA,3.4,3.4
